Thickness [cm]		Dose[rem?]		Dose Error
0.01		2.74858		0.0016491479999999998
30.0		0.0		0.0
19.198022251489864		0.0		0.0
12.286765519295436		0.0		0.0
5.78483277258279		0.0		0.0
1.7858788750369219		0.0		0.0
0.33267389142440634		2.09683		0.001258098
1.09976081407042		0.0		0.0
0.7375874125931646		0.0		0.0
0.47786181321965154		1.81547		0.0010892819999999998
0.595955579855759		0.0		0.0
0.5315574741477349		0.0		0.0
0.49366100452317824		1.76625		0.095907375
0.5103161408549898		0.0		0.0
0.5009807778155031		1.5677		0.15677000000000002
0.5044208742803316		1.45864		0.20304268799999997
0.507287876197591		1.23528		0.253479456
